iter	RMSE
0	21.26886957
1	20.29112099
2	19.37839421
3	18.46422088
4	17.62053296
5	16.87215343
6	16.13110924
7	15.39872628
8	14.70237876
9	14.03463556
10	13.42230882
11	12.83271592
12	12.28046863
13	11.75536396
14	11.23965336
15	10.74896956
16	10.30310327
17	9.885175793
18	9.477565136
19	9.083062824
20	8.711547854
21	8.374735541
22	8.044994925
23	7.735867011
24	7.441631726
25	7.162113536
26	6.902994834
27	6.662102865
28	6.427497661
29	6.204496944
30	5.99441205
31	5.791740124
32	5.608825101
33	5.435252893
34	5.267891633
35	5.106787572
36	4.962716742
37	4.824567398
38	4.690065026
39	4.572672284
40	4.463987316
41	4.355664152
42	4.259751528
43	4.171596563
44	4.085868338
45	4.011112654
46	3.934148889
47	3.861077378
48	3.794155579
49	3.732532068
50	3.680817526
51	3.636517566
52	3.587191417
53	3.543202668
54	3.500312598
55	3.461902619
56	3.421091969
57	3.386366544
58	3.357340141
59	3.327044597
60	3.300970678
61	3.276236735
62	3.250216059
63	3.22805185
64	3.208180367
65	3.19003665
66	3.169186315
67	3.153347322
68	3.139533614
69	3.12306904
70	3.107601392
71	3.095588421
72	3.082859056
73	3.071705394
74	3.060940061
75	3.049976906
76	3.04246634
77	3.033300162
78	3.023067521
79	3.014028094
80	3.006030825
81	2.997153909
82	2.986882571
83	2.978178736
84	2.970423245
85	2.965136621
86	2.955481657
87	2.949082475
88	2.943697199
89	2.937799725
90	2.931501421
91	2.9253795
92	2.922119075
93	2.917217335
94	2.91119389
95	2.905675289
96	2.9016852
97	2.896590342
98	2.890590454
99	2.887900368
100	2.882043268
101	2.877287098
102	2.873967002
103	2.869462839
104	2.866903632
105	2.862804391
106	2.859172055
107	2.856377109
108	2.852225141
109	2.848321479
110	2.846336834
111	2.842479106
112	2.837820421
113	2.835433045
114	2.831339579
115	2.827579086
116	2.82325921
117	2.816549077
118	2.813293672
119	2.811423652
120	2.809136501
121	2.804139326
122	2.800012423
123	2.795991111
124	2.790370111
125	2.785376018
126	2.780297095
127	2.774130323
128	2.771068326
129	2.766353512
130	2.762099608
131	2.757603277
132	2.752980208
133	2.750778564
134	2.748298781
135	2.744873782
136	2.743598274
137	2.741043715
138	2.736114037
139	2.73357829
140	2.731384231
141	2.727433875
142	2.722655612
143	2.719676871
144	2.715549529
145	2.713917208
146	2.712889957
147	2.709872218
148	2.706940906
149	2.702847204
150	2.69793592
151	2.693206714
152	2.688715918
153	2.685817153
154	2.683423406
155	2.679293369
156	2.674595299
157	2.669716223
158	2.665583754
159	2.663698816
160	2.661429575
161	2.6574864
162	2.65513071
163	2.651501711
164	2.647615059
165	2.643590523
166	2.642066297
167	2.638662371
168	2.63608262
169	2.635346179
170	2.631282357
171	2.62679532
172	2.621888147
173	2.619875532
174	2.615919675
175	2.612921957
176	2.61112294
177	2.606594098
178	2.604446194
179	2.600905753
180	2.597993123
181	2.595037849
182	2.592951299
183	2.589344366
184	2.587316027
185	2.583859469
186	2.57841304
187	2.576925473
188	2.571390755
189	2.570302635
190	2.56770978
191	2.565344219
192	2.561972193
193	2.559097104
194	2.55581205
195	2.552289674
196	2.550866998
197	2.549930546
198	2.546960623
199	2.543117922
