iter	Passed	Remaining
0	151	30104
1	154	15266
2	156	10247
3	157	7734
4	161	6300
5	163	5289
6	165	4563
7	167	4021
8	169	3597
9	171	3263
10	173	2982
11	175	2748
12	177	2551
13	179	2383
14	181	2235
15	183	2106
16	185	1992
17	186	1889
18	188	1798
19	190	1717
20	193	1646
21	195	1577
22	196	1515
23	198	1458
24	200	1405
25	202	1357
26	205	1314
27	207	1276
28	209	1237
29	211	1200
30	215	1177
31	217	1143
32	219	1111
33	221	1081
34	223	1053
35	225	1026
36	227	1000
37	229	976
38	230	953
39	232	929
40	234	908
41	236	889
42	238	869
43	240	851
44	242	834
45	244	817
46	246	800
47	248	785
48	250	771
49	252	756
50	254	742
51	256	728
52	257	715
53	259	701
54	261	689
55	263	676
56	265	667
57	267	655
58	269	644
59	271	633
60	273	623
61	275	613
62	277	603
63	280	595
64	282	586
65	284	576
66	286	568
67	288	559
68	290	550
69	294	546
70	298	541
71	300	533
72	301	525
73	303	517
74	305	509
75	308	502
76	310	495
77	312	488
78	314	480
79	315	473
80	317	466
81	319	460
82	321	453
83	323	447
84	325	440
85	327	434
86	329	428
87	331	422
88	333	415
89	335	409
90	337	404
91	339	398
92	341	392
93	343	387
94	345	381
95	347	376
96	349	370
97	350	365
98	352	360
99	355	355
100	357	350
101	360	346
102	362	341
103	364	336
104	366	331
105	368	326
106	370	321
107	371	316
108	373	311
109	375	307
110	377	302
111	379	297
112	381	293
113	383	289
114	385	284
115	387	280
116	388	275
117	390	271
118	392	267
119	394	263
120	396	259
121	398	254
122	400	250
123	402	246
124	403	242
125	406	238
126	408	235
127	410	231
128	413	227
129	414	223
130	416	219
131	418	215
132	420	211
133	422	208
134	424	204
135	426	200
136	428	197
137	430	193
138	431	189
139	433	185
140	435	182
141	437	178
142	439	175
143	441	171
144	443	168
145	445	164
146	447	161
147	449	157
148	450	154
149	452	150
150	454	147
151	456	144
152	458	140
153	459	137
154	461	134
155	463	130
156	465	127
157	468	124
158	470	121
159	472	118
160	474	114
161	476	111
162	478	108
163	481	105
164	483	102
165	485	99
166	487	96
167	488	93
168	490	89
169	492	86
170	493	83
171	495	80
172	497	77
173	499	74
174	501	71
175	503	68
176	504	65
177	506	62
178	508	59
179	510	56
180	511	53
181	513	50
182	515	47
183	518	45
184	519	42
185	521	39
186	523	36
187	524	33
188	526	30
189	527	27
190	529	24
191	531	22
192	533	19
193	535	16
194	537	13
195	539	11
196	541	8
197	543	5
198	545	2
199	546	0
