date,department,disease_category,specific_disease,patient_count,occupied_beds,total_beds,occupancy_rate,severity,avg_length_of_stay,icu_required,emergency_admission,discharges,ed_wait_time_minutes,labour_staffing,admission_discharge_ratio,bed_utilization,acuity_index,staff_to_patient_ratio,readmission_risk,complexity_score,recovery_rate,satisfaction_score,cost_per_bed,mortality_rate,days_since_turnover,equipment_availability,infection_rate,readmission_count,transfer_count,day_of_week,month,week_number,is_weekend,is_holiday
2025-01-01,Cardiology,Cardiovascular,ACS & Heart Failure,22,26,30,0.8666666666666667,HIGH,7.951089645011868,10,1,11,,5.531831991761152,1.9166666666666667,0.8666666666666667,0.65,0.2405144344243979,0.6490468253085038,79.16230928560579,20.837690714394213,57.295529496537696,4500.0,0.03,4,0.9054153125103362,0.07204511897982076,2,3,2,1,1,0,0
2025-01-01,Emergency,Trauma,ED High Acuity Mix,10,12,15,0.8,MEDIUM,5.801405369644614,1,5,5,101.64916560792167,2.2392183171238647,2.5,0.8,0.4,0.20356530155671496,0.5536827861306267,51.57123666297637,48.42876333702363,48.84939603847515,1800.0,0.01,6,0.8493848149332355,0.06374699797544443,0,0,2,1,1,0,0
2025-01-01,General Ward,General,Infectious Diseases,83,98,100,0.98,LOW,3.1607824767773613,4,4,42,,20.249276325550987,2.0232558139534884,0.98,0.3,0.24106281339941651,0.8134,34.877725635611796,65.1222743643882,51.1712615628648,1080.0,0.002,6,0.8815166113166946,0.08079716344700702,9,14,2,1,1,0,0
2025-01-01,ICU,Respiratory,Critical Care Mix,16,19,20,0.95,HIGH,7.72347139765763,7,0,7,,4.045009656398238,2.0,0.95,0.65,0.237941744494014,0.784,76.39520646100068,23.604793538999317,65.45257642403263,6300.0,0.03,3,0.8965262807032525,0.07442560043585965,1,2,2,1,1,0,0
2025-01-01,Neurology,Neurological,Stroke & Seizure,20,24,28,0.8571428571428571,MEDIUM,7.015427434352692,3,1,8,,5.089979396176511,2.3333333333333335,0.8571428571428571,0.4,0.24237997124650051,0.6288519812154328,48.07458859791842,51.92541140208158,60.17446051360039,2400.0,0.01,1,0.9062349544876804,0.0698408666322107,2,3,2,1,1,0,0
2025-01-01,Oncology,Cancer,Radiation Therapy,17,20,25,0.8,HIGH,7.263658117312917,8,0,8,,3.694290485758435,1.8888888888888888,0.8,0.65,0.20523836031991305,0.5704922594902035,72.95474049138035,27.04525950861965,64.26513387237073,3960.0,0.03,2,0.8220164938060113,0.057333303074890776,1,0,2,1,1,0,0
2025-01-01,Orthopedics,Musculoskeletal,Fractures & Replacements,26,31,35,0.8857142857142857,HIGH,3.643331506352583,12,1,11,,6.4214958977123064,2.25,0.8857142857142857,0.65,0.23783318139675208,0.6698961852557215,76.62099383776366,23.379006162236337,59.38609206194322,3240.0,0.03,5,0.9049448152205356,0.07282617048362577,2,4,2,1,1,0,0
2025-01-02,Cardiology,Cardiovascular,Arrhythmia Management,22,27,30,0.9,HIGH,7.146262411920555,10,1,12,,5.744817544743293,1.7692307692307692,0.9,0.65,0.24977467585840407,0.6797959977204547,72.92617682797267,27.073823172027332,52.46640474504922,4500.0,0.03,6,0.9885931066774889,0.06810526005685207,2,4,3,1,1,0,0
2025-01-02,Emergency,Trauma,ED High Acuity Mix,11,13,15,0.8666666666666667,MEDIUM,6.725733617165892,1,9,7,164.77580432130637,2.3841026960420235,2.5,0.8666666666666667,0.4,0.19867522467016863,0.6493443574887399,51.48825224254173,48.51174775745827,39.15002957918759,1800.0,0.01,7,0.8805370835651041,0.07171059175739908,1,1,3,1,1,0,0
2025-01-02,General Ward,General,Respiratory & Med-Surg,81,96,100,0.96,MEDIUM,6.4889297750831405,14,4,48,,20.82942082153296,1.7346938775510203,0.96,0.4,0.25401732709186536,0.7845952357659747,53.639165570829334,46.360834429170666,49.53193132746039,1440.0,0.01,5,0.9902602652939094,0.08235506221183105,9,14,3,1,1,0,0
2025-01-02,ICU,Respiratory,Critical Care Mix,15,18,20,0.9,HIGH,7.855979756839332,7,0,8,,3.7602797366985787,1.6666666666666667,0.9,0.65,0.23501748354366117,0.6804451043509244,71.77440122697438,28.225598773025624,63.66177524485076,6300.0,0.03,7,0.9969018283232985,0.05921424936255519,1,2,3,1,1,0,0
2025-01-02,Neurology,Neurological,Movement Disorders,19,23,28,0.8214285714285714,MEDIUM,5.011120730895215,3,0,9,,5.870118835021717,1.9,0.8214285714285714,0.4,0.29350594175108585,0.5707204100973277,49.599563323237554,50.400436676762446,61.97186620206822,2400.0,0.01,1,0.89126453961933,0.057838100645877945,1,0,3,1,1,0,0
