date,occupied_beds,occupancy_rate,predicted_occupancy_rate,predicted_occupied_beds
2025-12-02,232.0,0.91699606,,
2025-12-03,215.0,0.8498024,,
2025-12-04,218.0,0.86166006,,
2025-12-05,238.0,0.94071144,,
2025-12-06,199.0,0.78656125,,
2025-12-07,218.0,0.86166006,,
2025-12-08,206.0,0.81422925,,
2025-12-09,235.0,0.92885375,,
2025-12-10,218.0,0.86166006,,
2025-12-11,223.0,0.88142294,,
2025-12-12,234.0,0.9249012,,
2025-12-13,211.0,0.8339921,,
2025-12-14,218.0,0.86166006,,
2025-12-15,218.0,0.86166006,,
2025-12-16,236.0,0.9328063,,
2025-12-17,236.0,0.9328063,,
2025-12-18,234.0,0.9249012,,
2025-12-19,225.0,0.88932806,,
2025-12-20,228.0,0.90118575,,
2025-12-21,221.0,0.8735178,,
2025-12-22,237.0,0.9367589,,
2025-12-23,231.0,0.9130435,,
2025-12-24,238.0,0.94071144,,
2025-12-25,235.0,0.92885375,,
2025-12-26,209.0,0.82608694,,
2025-12-27,226.0,0.8932806,,
2025-12-28,208.0,0.8221344,,
2025-12-29,222.0,0.8774704,,
2025-12-30,237.0,0.9367589,,
2025-12-31,224.0,0.8853755,,
