date,occupied_beds,total_beds,occupancy_rate
2025-01-01,230.0,253.0,0.90909094
2025-01-02,229.0,253.0,0.9051383
2025-01-03,229.0,253.0,0.9051383
2025-01-04,212.0,253.0,0.8379447
2025-01-05,220.0,253.0,0.8695652
2025-01-06,223.0,253.0,0.88142294
2025-01-07,240.0,253.0,0.9486166
2025-01-08,225.0,253.0,0.88932806
2025-01-09,237.0,253.0,0.9367589
2025-01-10,225.0,253.0,0.88932806
2025-01-11,215.0,253.0,0.8498024
2025-01-12,234.0,253.0,0.9249012
2025-01-13,226.0,253.0,0.8932806
2025-01-14,236.0,253.0,0.9328063
2025-01-15,236.0,253.0,0.9328063
2025-01-16,237.0,253.0,0.9367589
2025-01-17,235.0,253.0,0.92885375
2025-01-18,235.0,253.0,0.92885375
2025-01-19,225.0,253.0,0.88932806
2025-01-20,231.0,253.0,0.9130435
2025-01-21,233.0,253.0,0.9209486
2025-01-22,236.0,253.0,0.9328063
2025-01-23,238.0,253.0,0.94071144
2025-01-24,237.0,253.0,0.9367589
2025-01-25,208.0,253.0,0.8221344
2025-01-26,220.0,253.0,0.8695652
2025-01-27,228.0,253.0,0.90118575
2025-01-28,216.0,253.0,0.85375494
2025-01-29,233.0,253.0,0.9209486
2025-01-30,230.0,253.0,0.90909094
2025-01-31,231.0,253.0,0.9130435
2025-02-01,222.0,253.0,0.8774704
2025-02-02,213.0,253.0,0.84189725
2025-02-03,230.0,253.0,0.90909094
2025-02-04,231.0,253.0,0.9130435
2025-02-05,235.0,253.0,0.92885375
2025-02-06,215.0,253.0,0.8498024
2025-02-07,230.0,253.0,0.90909094
2025-02-08,237.0,253.0,0.9367589
2025-02-09,226.0,253.0,0.8932806
2025-02-10,222.0,253.0,0.8774704
2025-02-11,237.0,253.0,0.9367589
2025-02-12,220.0,253.0,0.8695652
2025-02-13,215.0,253.0,0.8498024
2025-02-14,222.0,253.0,0.8774704
2025-02-15,210.0,253.0,0.8300395
2025-02-16,231.0,253.0,0.9130435
2025-02-17,233.0,253.0,0.9209486
2025-02-18,230.0,253.0,0.90909094
2025-02-19,243.0,253.0,0.9604743
2025-02-20,231.0,253.0,0.9130435
2025-02-21,229.0,253.0,0.9051383
2025-02-22,222.0,253.0,0.8774704
2025-02-23,227.0,253.0,0.8972332
2025-02-24,225.0,253.0,0.88932806
2025-02-25,221.0,253.0,0.8735178
2025-02-26,234.0,253.0,0.9249012
2025-02-27,232.0,253.0,0.91699606
2025-02-28,233.0,253.0,0.9209486
2025-03-01,205.0,253.0,0.8102767
2025-03-02,193.0,253.0,0.7628459
