date,actual_occupied_beds,pred_XGBoost,pred_LightGBM,pred_CatBoost,pred_RandomForest,pred_ExtraTrees,pred_LinearRegression,pred_prophet,pred_arima
2025-12-02,232,199.86731,196.04280372780732,208.71859717361212,212.78,218.565,203.54548138662093,201.21612899879634,196.9682827849595
2025-12-03,215,203.63705,205.23348941968516,206.77690834385893,214.635,220.075,208.48523600579315,205.19218913647305,198.4332222937739
2025-12-04,218,201.73048,201.61381945374788,206.81981625330766,214.62,220.84,211.8990655464134,204.66546851616528,200.94934046998384
2025-12-05,238,204.30261,206.73160550378017,208.44239384299402,215.205,220.49,209.86790184675698,205.9847138347788,198.20832204469744
2025-12-06,199,193.79097,191.14797081173617,200.39833873615734,201.615,197.47,194.45205299614793,195.61089077870824,200.7231515395842
2025-12-07,218,193.00655,190.5113379779075,199.95929346804675,199.175,195.825,203.84351341964634,194.00664835824878,198.4654092627377
2025-12-08,206,200.91278,203.75610444529545,205.83501626377236,214.16,216.44,210.1560460187014,205.7104702807863,200.4861556969887
2025-12-09,235,201.05887,203.31583910990227,204.61988721167208,213.36,214.11,208.93383836032638,201.58437016077806,198.67831769530588
2025-12-10,218,203.54234,199.71963019955197,203.92174927573635,212.535,217.0,201.37699498512293,205.5604302984384,200.29557841285
2025-12-11,223,204.6912,204.5646925191347,205.61359756740507,214.705,217.245,205.1118727946514,205.0337096781304,198.84881780564172
2025-12-12,234,202.02495,200.13070749064013,203.0562937430423,212.5,213.715,205.260749917752,206.35295499674152,200.14305165908456
2025-12-13,211,192.40738,190.46873120958082,201.3882759035662,200.95,196.285,186.12141658818473,195.9791319407005,198.985264426363
2025-12-14,218,194.44733,195.03388166277264,199.91455604432747,200.855,197.78,191.77468175468704,194.37488952022252,200.02099010873738
2025-12-15,218,200.57301,198.24224522516226,206.25805672410993,212.27,217.78,194.98282883366363,206.07871144275444,199.09445744818137
2025-12-16,236,199.61945,198.02759386392296,203.66191406600979,211.04,212.475,198.82350788834566,201.95261132274803,199.9233089338819
2025-12-17,236,200.64963,198.62443567909247,204.1298051748779,211.48,214.625,196.87317275556137,205.92867146041698,199.181840430351
2025-12-18,234,201.03247,199.03551297018063,203.877664691967,211.37,213.775,198.3537419954876,205.40195084010904,199.84513844116125
2025-12-19,225,200.33502,200.13070749064013,203.04489598239545,211.295,212.96,198.31362807768215,206.7211961587043,199.2517696749237
2025-12-20,228,194.53143,195.14814223576954,201.25698328075836,201.705,198.35,189.69274048221047,196.34737310265237,199.7825815980834
2025-12-21,221,189.56305,195.2162872478253,199.88387414934738,200.85,198.785,187.03771139235323,194.74313068216912,199.30773136362453
2025-12-22,237,200.85416,206.08101621654552,210.73458190942182,213.05,218.305,198.25601410879673,206.4469526047226,199.73251975915161
2025-12-23,231,197.31279,206.08101621654552,205.68892515749576,211.26,213.405,193.94430339819723,202.32085248472129,199.3525153538045
2025-12-24,238,197.57014,206.08101621654552,205.50640542448156,211.615,213.2,196.78233576318996,206.29691262238427,199.69245719214976
2025-12-25,235,196.96446,206.08101621654552,205.4242020334201,211.32,213.125,194.6156862858935,205.7701920020877,199.3883542611535
2025-12-26,209,196.72154,206.08101621654552,205.00991429805646,211.45,213.23,193.3158252526083,207.08943732069918,199.66039665843735
2025-12-27,226,193.54018,190.18266695265996,200.1838327294568,201.38,198.38,190.07746389488148,196.71561426462446,199.4170347622613
2025-12-28,208,194.49083,191.14797081173617,199.63297686916468,200.67,197.735,185.509066390962,195.11137184416054,199.63473984463712
2025-12-29,222,205.51431,198.24224522516226,202.13796669766015,210.24,211.265,199.23114383117294,206.8151937667024,199.43998666578293
2025-12-30,237,199.94067,198.24224522516226,202.66191611473383,210.98,212.305,193.16642728551943,202.68909364669125,199.61420768193878
2025-12-31,224,200.05634,199.71963019955197,202.53203095647132,210.94,211.4,192.69670243757662,206.66515378436284,199.4583541926712
